id_producto,nombre,categoria,subcategoria,marca,precio_lista,costo_unitario,fecha_alta
P0105,Cervezas Chaska Eco 56,Bebidas,Cervezas,Chaska,50.5,33.89,2020-05-13
P0106,Jabones Kusi Max 7,Cuidado Personal,Jabones,Kusi,6.58,4.73,2020-07-14
P0107,Cervezas Andes Clásico 16,Bebidas,Cervezas,Andes,2.1,1.61,2018-08-03
P0108,Afeitado Nuna Max 19,Cuidado Personal,Afeitado,Nuna,53.01,35.58,2018-07-12
P0109,Aceites Yachay Clásico 17,Abarrotes,Aceites,Yachay,3.48,2.35,2021-02-14
P0110,Aguas Misti Clásico 1,Bebidas,Aguas,Misti,4.34,2.73,2022-09-11
P0111,Arroz y menestras Puma Norte Eco 54,Abarrotes,Arroz y menestras,Puma Norte,51.01,35.03,2018-11-24
P0112,Snacks Kusi Eco 54,Abarrotes,Snacks,Kusi,2.97,1.82,2022-01-28
P0113,Ambientadores Nuna Lite 50,Limpieza,Ambientadores,Nuna,21.4,14.29,2019-08-20
P0114,Fideos y pastas Qori Familiar 30,Abarrotes,Fideos y pastas,Qori,4.14,3.11,2021-04-21
P0115,Lavavajillas Kusi Max 76,Limpieza,Lavavajillas,Kusi,55.31,37.27,2021-11-20
P0116,Afeitado Nuna Max 37,Cuidado Personal,Afeitado,Nuna,11.64,7.39,2022-10-20
P0117,Textil hogar Wayra Max 63,Hogar,Textil hogar,Wayra,42.11,32.19,2021-07-07
P0118,Energizantes Chaska Max 9,Bebidas,Energizantes,Chaska,47.36,28.94,2021-05-14
P0119,Vinos y licores Tika Premium 15,Bebidas,Vinos y licores,Tika,15.95,12.02,2019-03-21
P0120,Vinos y licores Chaska Max 34,Bebidas,Vinos y licores,Chaska,58.92,44.34,2019-12-05
P0121,Aceites Sami Max 26,Abarrotes,Aceites,Sami,18.14,12.19,2021-02-18
P0122,Jabones Wayra Familiar 14,Cuidado Personal,Jabones,Wayra,27.93,17.9,2021-12-19
P0123,Licuadoras Pacífico Premium 79,Electrohogar,Licuadoras,Pacífico,1848.67,1434.27,2022-10-10
P0124,Detergentes Sami Clásico 49,Limpieza,Detergentes,Sami,27.38,20.41,2020-09-22
P0125,Desinfectantes Tika Premium 72,Limpieza,Desinfectantes,Tika,10.41,6.57,2021-09-30
P0126,Menaje Runa Familiar 43,Hogar,Menaje,Runa,89.52,66.12,2019-02-17
P0127,Cuidado dental Killa Clásico 78,Cuidado Personal,Cuidado dental,Killa,36.13,22.08,2019-07-11
P0128,Televisores Puma Norte Familiar 91,Electrohogar,Televisores,Puma Norte,182.17,117.82,2021-02-26
P0129,Textil hogar Chaska Familiar 56,Hogar,Textil hogar,Chaska,17.13,11.98,2022-10-23
P0130,Arroz y menestras Qori Eco 91,Abarrotes,Arroz y menestras,Qori,19.39,13.54,2022-06-11
P0131,Cuidado dental Pacífico Clásico 85,Cuidado Personal,Cuidado dental,Pacífico,59.92,47.33,2020-10-13
P0132,Shampoo Wayra Premium 55,Cuidado Personal,Shampoo,Wayra,49.48,39.41,2018-11-26
P0133,Licuadoras Chaska Clásico 63,Electrohogar,Licuadoras,Chaska,99.58,71.4,2021-07-07
P0134,Gaseosas Sami Max 68,Bebidas,Gaseosas,Sami,16.37,10.82,2022-09-15
P0135,Afeitado Puma Norte Familiar 26,Cuidado Personal,Afeitado,Puma Norte,10.82,8.41,2022-01-11
P0136,Cuidado dental Nuna Eco 87,Cuidado Personal,Cuidado dental,Nuna,7.44,5.57,2022-08-14
P0137,Vinos y licores Sami Lite 37,Bebidas,Vinos y licores,Sami,29.73,20.58,2019-11-23
P0138,Snacks Killa Clásico 39,Abarrotes,Snacks,Killa,6.81,5.06,2020-05-14
P0139,Cervezas Kusi Max 18,Bebidas,Cervezas,Kusi,11.47,8.44,2022-02-20
P0140,Textil hogar Killa Eco 69,Hogar,Textil hogar,Killa,602.99,444.23,2020-11-07
P0141,Conservas Sami Clásico 74,Abarrotes,Conservas,Sami,3.19,2.06,2019-05-29
P0142,Snacks Kusi Max 58,Abarrotes,Snacks,Kusi,2.7,1.86,2018-08-04
P0143,Energizantes Puma Norte Familiar 14,Bebidas,Energizantes,Puma Norte,6.52,4.15,2019-01-01
P0144,Conservas Chaska Familiar 5,Abarrotes,Conservas,Chaska,2.63,1.67,2022-06-30
P0145,Gaseosas Tika Lite 87,Bebidas,Gaseosas,Tika,74.91,49.85,2018-10-03
P0146,Muebles pequeños Puma Norte Clásico 92,Hogar,Muebles pequeños,Puma Norte,17.76,12.8,2020-01-29
P0147,Jugos Tika Familiar 36,Bebidas,Jugos,Tika,15.42,11.21,2020-02-09
P0148,Cuidado dental Tika Clásico 84,Cuidado Personal,Cuidado dental,Tika,15.43,11.31,2021-12-19
P0149,Aceites Nuna Eco 16,Abarrotes,Aceites,Nuna,4.8,3.63,2018-08-23
P0150,Cuidado dental Killa Clásico 53,Cuidado Personal,Cuidado dental,Killa,6.31,4.16,2020-10-22
P0151,Harinas y azúcar Kusi Premium 13,Abarrotes,Harinas y azúcar,Kusi,3.79,2.84,2019-12-29
P0152,Lavado Qori Lite 40,Electrohogar,Lavado,Qori,543.95,392.68,2019-11-19
P0153,Detergentes Inti Max 48,Limpieza,Detergentes,Inti,11.31,9.02,2019-12-26
P0154,Arroz y menestras Wayra Clásico 74,Abarrotes,Arroz y menestras,Wayra,18.56,11.7,2019-01-26
P0155,Hervidores Runa Familiar 80,Electrohogar,Hervidores,Runa,322.18,217.74,2022-10-08
P0156,Ambientadores Sami Lite 69,Limpieza,Ambientadores,Sami,5.02,3.15,2021-01-30
P0157,Desinfectantes Qori Eco 72,Limpieza,Desinfectantes,Qori,36.61,24.77,2022-02-15
P0158,Vinos y licores Inti Familiar 30,Bebidas,Vinos y licores,Inti,3.0,1.85,2019-03-20
P0159,Refrigeración Pacífico Eco 62,Electrohogar,Refrigeración,Pacífico,379.96,262.93,2020-11-06
P0160,Aguas Nuna Eco 96,Bebidas,Aguas,Nuna,26.01,16.76,2020-06-19
P0161,Snacks Misti Premium 87,Abarrotes,Snacks,Misti,20.66,12.45,2020-01-12
P0162,Textil hogar Runa Clásico 73,Hogar,Textil hogar,Runa,41.81,30.77,2021-03-14
P0163,Snacks Tika Max 33,Abarrotes,Snacks,Tika,47.91,38.22,2021-07-23
P0164,Snacks Runa Eco 55,Abarrotes,Snacks,Runa,3.1,1.9,2018-11-02
P0165,Desinfectantes Nuna Premium 73,Limpieza,Desinfectantes,Nuna,8.52,5.27,2020-04-23
P0166,Fideos y pastas Qori Clásico 29,Abarrotes,Fideos y pastas,Qori,38.62,25.55,2019-05-27
P0167,Jugos Runa Eco 85,Bebidas,Jugos,Runa,7.13,5.46,2022-08-24
P0168,Cuidado de piel Chaska Familiar 75,Cuidado Personal,Cuidado de piel,Chaska,12.7,8.9,2018-09-23
P0169,Textil hogar Sami Max 15,Hogar,Textil hogar,Sami,112.27,83.59,2020-12-17
P0170,Menaje Yachay Premium 14,Hogar,Menaje,Yachay,242.95,150.49,2022-04-12
P0171,Harinas y azúcar Qori Lite 41,Abarrotes,Harinas y azúcar,Qori,15.35,12.11,2020-07-18
P0172,Organización Yachay Familiar 17,Hogar,Organización,Yachay,264.28,179.26,2021-11-25
P0173,Aceites Sami Max 16,Abarrotes,Aceites,Sami,5.14,3.61,2019-05-15
P0174,Microondas Kusi Clásico 19,Electrohogar,Microondas,Kusi,415.81,298.21,2021-09-14
P0175,Energizantes Yachay Clásico 90,Bebidas,Energizantes,Yachay,39.21,29.91,2022-06-14
P0176,Jabones Andes Clásico 88,Cuidado Personal,Jabones,Andes,20.38,15.96,2019-02-07
P0177,Jabones Sami Max 2,Cuidado Personal,Jabones,Sami,66.66,46.51,2020-11-23
P0178,Textil hogar Puma Norte Lite 11,Hogar,Textil hogar,Puma Norte,51.45,38.54,2022-01-14
P0179,Muebles pequeños Tika Familiar 25,Hogar,Muebles pequeños,Tika,112.41,71.66,2020-11-02
P0180,Aguas Runa Familiar 85,Bebidas,Aguas,Runa,24.21,15.15,2022-10-21
P0181,Cuidado dental Yachay Premium 64,Cuidado Personal,Cuidado dental,,53.51,37.61,2019-03-30
P0182,Televisores Kusi Eco 36,Electrohogar,Televisores,Kusi,544.54,385.56,2022-04-20
P0183,Snacks Andes Max 42,Abarrotes,Snacks,Andes,51.39,37.87,2020-04-08
P0184,Cuidado de piel Puma Norte Lite 27,Cuidado Personal,Cuidado de piel,Puma Norte,16.69,10.39,2020-06-05
P0185,Vinos y licores Chaska Premium 11,Bebidas,Vinos y licores,Chaska,7.87,5.99,2020-05-18
P0186,Fideos y pastas Sami Eco 40,Abarrotes,Fideos y pastas,Sami,30.53,20.24,2018-11-17
P0187,Lavavajillas Andes Clásico 3,Limpieza,Lavavajillas,Andes,22.72,13.97,2019-11-21
P0188,Desinfectantes Yachay Max 14,Limpieza,Desinfectantes,Yachay,12.5,9.79,2020-01-24
P0189,Cuidado de piel Nuna Clásico 25,Cuidado Personal,Cuidado de piel,Nuna,39.15,25.22,2019-09-15
P0190,Jabones Wayra Familiar 30,Cuidado Personal,Jabones,Wayra,5.69,4.14,2020-10-01
P0191,Desinfectantes Runa Lite 40,Limpieza,Desinfectantes,Runa,56.11,40.87,2022-01-06
P0192,Decoración Inti Lite 75,Hogar,Decoración,Inti,54.65,41.32,2020-05-20
P0193,Snacks Wayra Clásico 95,Abarrotes,Snacks,Wayra,11.36,8.43,2020-08-13
P0194,Vinos y licores Misti Lite 26,Bebidas,Vinos y licores,Misti,30.38,19.65,2019-12-26
P0195,Vinos y licores Chaska Max 71,Bebidas,Vinos y licores,Chaska,7.31,4.8,2020-09-06
P0196,Licuadoras Pacífico Eco 43,Electrohogar,Licuadoras,Pacífico,188.76,136.06,2019-01-24
P0197,Afeitado Runa Lite 98,Cuidado Personal,Afeitado,Runa,32.31,20.86,2022-02-01
P0198,Snacks Inti Max 76,Abarrotes,Snacks,Inti,19.47,15.41,2022-02-02
P0199,Licuadoras Wayra Premium 93,Electrohogar,Licuadoras,Wayra,1764.1,1392.46,2022-03-05
P0200,Microondas Pacífico Familiar 91,Electrohogar,Microondas,Pacífico,2027.67,1615.54,2022-04-26
P0201,Lavado Chaska Familiar 17,Electrohogar,Lavado,Chaska,2401.98,1612.47,2019-07-24
P0202,Arroz y menestras Tika Max 13,Abarrotes,Arroz y menestras,Tika,44.33,29.37,2022-10-16
P0203,Snacks Nuna Premium 18,Abarrotes,Snacks,Nuna,36.29,29.0,2022-06-15
P0204,Textil hogar Puma Norte Familiar 61,Hogar,Textil hogar,Puma Norte,37.66,27.6,2021-05-31
P0205,Decoración Runa Familiar 19,Hogar,Decoración,Runa,350.02,221.93,2020-05-08
P0206,Aceites Inti Eco 86,Abarrotes,Aceites,Inti,23.06,18.09,2022-01-11
P0207,Lavavajillas Tika Lite 82,Limpieza,Lavavajillas,Tika,10.49,8.2,2022-04-29
P0208,Gaseosas Yachay Max 19,Bebidas,Gaseosas,Yachay,33.01,25.95,2021-07-10
P0209,Energizantes Andes Eco 33,Bebidas,Energizantes,Andes,16.86,10.62,2022-10-28
P0210,Aceites Nuna Max 95,Abarrotes,Aceites,Nuna,15.36,10.06,2020-02-06
P0211,Aguas Tika Max 5,Bebidas,Aguas,Tika,69.66,53.31,2019-03-24
P0212,Gaseosas Inti Familiar 92,Bebidas,Gaseosas,Inti,24.32,15.66,2021-01-14
P0213,Organización Inti Premium 58,Hogar,Organización,Inti,130.75,91.74,2021-01-31
P0214,Shampoo Puma Norte Clásico 50,Cuidado Personal,Shampoo,Puma Norte,5.21,3.39,2020-12-07
P0215,Harinas y azúcar Sami Lite 46,Abarrotes,Harinas y azúcar,Sami,5.75,3.55,2019-01-07
P0216,Detergentes Yachay Familiar 38,Limpieza,Detergentes,Yachay,13.98,10.31,2021-09-23
P0217,Detergentes Kusi Familiar 54,Limpieza,Detergentes,Kusi,17.03,11.76,2021-01-04
P0218,Jabones Runa Premium 15,Cuidado Personal,Jabones,Runa,9.89,6.57,2021-01-24
P0219,Ambientadores Killa Premium 24,Limpieza,Ambientadores,Killa,6.05,3.94,2019-06-27
P0220,Lavavajillas Wayra Familiar 40,Limpieza,Lavavajillas,Wayra,7.61,4.95,2019-11-05
P0221,Cervezas Wayra Lite 4,Bebidas,Cervezas,Wayra,41.21,27.72,2019-09-22
P0222,Shampoo Pacífico Familiar 38,Cuidado Personal,Shampoo,Pacífico,47.94,36.13,2021-01-04
P0223,Organización Chaska Lite 3,Hogar,Organización,Chaska,209.51,150.06,2018-12-24
P0224,Detergentes Kusi Eco 7,Limpieza,Detergentes,Kusi,44.0,31.92,2019-09-15
P0225,Muebles pequeños Wayra Max 81,Hogar,Muebles pequeños,Wayra,512.24,325.9,2022-10-18
P0226,Harinas y azúcar Misti Familiar 12,Abarrotes,Harinas y azúcar,,40.64,26.95,2019-04-17
P0227,Snacks Yachay Eco 93,Abarrotes,Snacks,Yachay,48.57,36.49,2021-08-02
P0228,Organización Kusi Clásico 23,Hogar,Organización,Kusi,146.39,97.83,2021-12-02
P0229,Shampoo Nuna Clásico 52,Cuidado Personal,Shampoo,Nuna,53.55,39.02,2021-10-03
P0230,Papel higiénico Nuna Familiar 72,Limpieza,Papel higiénico,Nuna,8.89,5.37,2019-05-10
P0231,Jugos Nuna Lite 37,Bebidas,Jugos,Nuna,9.86,7.33,2021-05-05
P0232,Aguas Inti Familiar 90,Bebidas,Aguas,Inti,6.57,4.55,2020-10-16
P0233,Cuidado de piel Runa Max 40,Cuidado Personal,Cuidado de piel,Runa,63.92,41.56,2019-10-06
P0234,Jugos Kusi Lite 67,Bebidas,Jugos,Kusi,60.56,43.97,2022-04-09
P0235,Papel higiénico Pacífico Familiar 4,Limpieza,Papel higiénico,Pacífico,5.52,4.03,2019-10-30
P0236,Hervidores Misti Eco 5,Electrohogar,Hervidores,Misti,237.07,184.17,2019-12-07
P0237,Textil hogar Yachay Lite 55,Hogar,Textil hogar,Yachay,207.75,133.59,2019-09-10
P0238,Decoración Nuna Familiar 68,Hogar,Decoración,Nuna,118.48,90.26,2018-10-22
P0239,Papel higiénico Yachay Max 62,Limpieza,Papel higiénico,Yachay,26.05,19.93,2020-05-14
P0240,Conservas Misti Premium 72,Abarrotes,Conservas,Misti,3.23,2.24,2022-07-17
P0241,Conservas Tika Max 2,Abarrotes,Conservas,Tika,3.02,1.98,2021-12-31
P0242,Lavavajillas Pacífico Familiar 28,Limpieza,Lavavajillas,Pacífico,14.75,9.82,2020-05-18
P0243,Aceites Yachay Clásico 51,Abarrotes,Aceites,Yachay,5.13,3.96,2018-08-06
P0244,Aceites Chaska Eco 6,Abarrotes,Aceites,Chaska,10.46,7.62,2018-12-16
P0245,Aceites Inti Max 32,Abarrotes,Aceites,Inti,4.5,3.11,2018-08-18
P0246,Decoración Misti Familiar 34,Hogar,Decoración,Misti,375.24,228.94,2019-01-28
P0247,Fideos y pastas Runa Clásico 29,Abarrotes,Fideos y pastas,Runa,3.02,2.1,2021-08-04
P0248,Aceites Chaska Max 70,Abarrotes,Aceites,Chaska,37.17,26.07,2021-02-07
P0249,Muebles pequeños Sami Eco 85,Hogar,Muebles pequeños,Sami,564.73,414.61,2022-09-17
P0250,Cuidado de piel Qori Max 94,Cuidado Personal,Cuidado de piel,Qori,59.21,46.13,2020-02-04
P0251,Microondas Kusi Lite 38,Electrohogar,Microondas,Kusi,100.02,77.62,2022-01-05
P0252,Cervezas Kusi Clásico 65,Bebidas,Cervezas,,3.47,2.14,2021-03-29
P0253,Muebles pequeños Puma Norte Lite 76,Hogar,Muebles pequeños,Puma Norte,19.21,13.41,2021-06-15
P0254,Organización Runa Premium 7,Hogar,Organización,Runa,63.37,40.08,2021-04-11
P0255,Papel higiénico Kusi Lite 43,Limpieza,Papel higiénico,Kusi,4.52,2.81,2022-08-30
P0256,Decoración Qori Eco 9,Hogar,Decoración,Qori,437.06,319.83,2019-12-10
P0257,Lavavajillas Qori Familiar 71,Limpieza,Lavavajillas,Qori,23.73,18.89,2019-06-29
P0258,Ambientadores Tika Familiar 55,Limpieza,Ambientadores,Tika,53.96,39.43,2020-08-05
P0259,Hervidores Kusi Max 82,Electrohogar,Hervidores,Kusi,418.95,309.95,2022-11-26
P0260,Afeitado Pacífico Eco 43,Cuidado Personal,Afeitado,Pacífico,8.72,5.33,2022-06-15
P0261,Conservas Kusi Clásico 25,Abarrotes,Conservas,Kusi,43.47,29.27,2021-08-05
P0262,Detergentes Nuna Premium 83,Limpieza,Detergentes,Nuna,13.41,8.23,2022-05-18
P0263,Snacks Wayra Lite 87,Abarrotes,Snacks,Wayra,13.96,8.62,2021-07-28
P0264,Decoración Kusi Clásico 72,Hogar,Decoración,Kusi,57.34,43.57,2022-08-28
